0,1,2,3
64.5,4.9,64.3,4.7
64.3,4.7,64.2,4.8
64.2,4.8,64.2,4.7
64.2,4.7,64.1,4.6
64.1,4.6,64.0,4.6
64.0,4.6,63.9,4.7
63.9,4.7,64.0,4.8
64.0,4.8,64.0,4.9
64.0,4.9,64.1,5.0
64.1,5.0,64.2,5.0
64.2,5.0,64.1,5.1
64.1,5.1,64.0,5.1
64.0,5.1,63.9,5.0
63.9,5.0,64.0,4.9
64.0,4.9,63.9,4.8
63.9,4.8,63.7,4.8
63.7,4.8,63.6,4.9
63.6,4.9,63.6,5.0
63.6,5.0,63.7,5.1
63.7,5.1,63.7,5.2
63.7,5.2,63.6,5.3
22.9,5.6,23.0,5.5
23.0,5.5,23.0,5.4
23.0,5.4,22.9,5.3
22.9,5.3,22.8,5.3
22.8,5.3,22.7,5.4
61.0,5.6,61.1,5.7
61.1,5.7,61.2,5.6
61.2,5.6,61.1,5.5
49.4,5.6,49.5,5.7
49.5,5.7,50.1,5.7
50.1,5.7,50.2,5.6
50.2,5.6,50.1,5.5
50.1,5.5,49.7,5.5
49.7,5.5,49.7,5.4
49.7,5.4,49.8,5.4
49.8,5.4,49.9,5.5
49.9,5.5,50.0,5.5
50.0,5.5,50.1,5.4
50.1,5.4,49.9,5.2
49.9,5.2,49.6,5.2
49.6,5.2,49.7,5.1
49.7,5.1,50.0,5.1
50.0,5.1,50.1,5.0
50.1,5.0,50.0,4.9
50.0,4.9,50.0,4.8
50.0,4.8,50.1,4.7
50.1,4.7,50.0,4.6
50.0,4.6,49.1,4.6
49.1,4.6,49.0,4.7
49.0,4.7,49.1,4.8
49.1,4.8,49.4,4.8
60.7,5.7,60.8,5.8
60.8,5.8,60.9,5.7
60.9,5.7,60.8,5.6
60.5,5.8,60.6,5.9
60.6,5.9,60.7,5.8
60.7,5.8,60.6,5.7
59.3,6.0,59.4,6.1
59.4,6.1,59.5,6.0
59.5,6.0,59.7,6.0
59.7,6.0,59.8,5.9
59.8,5.9,60.0,5.9
60.0,5.9,60.1,5.8
60.1,5.8,60.2,5.8
60.2,5.8,60.3,5.7
60.3,5.7,60.5,5.7
60.5,5.7,60.6,5.6
60.6,5.6,60.7,5.6
60.7,5.6,60.8,5.5
60.8,5.5,61.0,5.5
61.0,5.5,61.1,5.4
61.1,5.4,61.3,5.4
61.3,5.4,61.4,5.3
61.4,5.3,61.5,5.3
61.5,5.3,61.6,5.4
61.6,5.4,61.7,5.3
61.7,5.3,61.7,5.2
61.7,5.2,61.8,5.1
61.8,5.1,62.1,5.1
62.1,5.1,62.2,5.0
62.2,5.0,62.3,5.0
62.3,5.0,62.4,4.9
62.4,4.9,62.5,4.9
62.5,4.9,62.6,4.8
62.6,4.8,62.8,4.8
62.8,4.8,62.9,4.7
62.9,4.7,63.0,4.7
63.0,4.7,63.1,4.6
63.1,4.6,63.2,4.6
63.2,4.6,63.3,4.5
63.3,4.5,63.2,4.4
63.2,4.4,63.0,4.4
63.0,4.4,62.9,4.5
62.9,4.5,62.7,4.5
62.7,4.5,62.6,4.6
62.6,4.6,62.5,4.6
62.5,4.6,62.4,4.7
62.4,4.7,62.2,4.7
62.2,4.7,62.1,4.8
62.1,4.8,62.0,4.8
62.0,4.8,61.9,4.9
61.9,4.9,61.7,4.9
61.7,4.9,61.6,5.0
61.6,5.0,61.5,5.0
61.5,5.0,61.4,5.1
61.4,5.1,61.1,5.1
61.1,5.1,61.0,5.2
